"コード","銘柄名","市場","現在値","前日比(%)"
"5393","ニチアス","東P","3197.0","-64.0(-1.96%)"
"5401","日本製鉄","東P","672.8","+18.8(+2.87%)"
"5406","神戸製鋼所","東P","2072.0","+64.0(+3.19%)"
"5408","中山製鋼所","東P","657","+14.0(+2.18%)"
"5410","合同製鐵","東P","2949","+108.0(+3.80%)"
"5411","ＪＦＥＨＬＤＧ","東P","1867.5","+72.5(+4.04%)"
"5423","東京製鐵","東P","1782","-2.0(-0.11%)"
"542A","ビタブリッドジャパン","東G","1054","-6.0(-0.57%)"
"543A","ＡＲＣＨＩＯＮ","東P","280","-10.0(-3.45%)"
"5440","共英製鋼","東P","1992","+57.0(+2.95%)"
"5444","大和工業","東P","13745.0","+360.0(+2.69%)"
"5445","東京鐵鋼","東P","1980","+30.0(+1.54%)"
"5446","北越メタル","東S","1089","+2.0(+0.18%)"
"5449","大阪製鐵","東S","2875","+90.0(+3.23%)"
"544A","ＧＭＳ　グループ","東P","358","-1.0(-0.28%)"
"5451","ヨドコウ","東P","1414","+23.0(+1.65%)"
"5458","高砂鐵工","東S","1250","+5.0(+0.40%)"
"545A","トランヴィア","東P","937","+14.0(+1.52%)"
"5461","中部鋼鈑","東P","2135","+7.0(+0.33%)"
"5463","丸一鋼管","東P","1796.0","-4.0(-0.22%)"
"5464","モリ工業","東S","966","+12.0(+1.26%)"
"546A","ＭＩＲＡＩＮＩ　ＨＬＤＧ","東P","2187","-2.0(-0.09%)"
"5471","大同特殊鋼","東P","2159.0","-157.5(-6.80%)"
"547A","ムニノバＨＬＤＧ","東P","451","+6.0(+1.35%)"
"5480","日本冶金工業","東P","5060","+0.0(+0.00%)"
"5482","愛知製鋼","東P","3165","-10.0(-0.31%)"
"5484","東北特殊鋼","東S","-","- (-%)"
"548A","システムエグゼ","東S","967","-3.0(-0.31%)"
"5491","日本金属","東S","899","-3.0(-0.33%)"
"549A","ヒトトヒトＨＬＤＧ","東S","459","+3.0(+0.66%)"
"550A","ソフトテックス","東S","2245","+8.0(+0.36%)"
"5527","ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏ","東G","682","+3.0(+0.44%)"
"5532","リアルゲイト","東G","3230","-345.0(-9.65%)"
"5533","エリッツＨＬＤＧ","東S","2033","+50.0(+2.52%)"
"5535","ミガロＨＬＤＧ","東P","276","-2.0(-0.72%)"
"5537","ＡｌｂａＬｉｎｋ","東G","2677","-127.0(-4.53%)"
"5541","大平洋金属","東P","2361","+0.0(+0.00%)"
"5542","新報国マテリアル","東S","782","-3.0(-0.38%)"
"554A","バトンズ","東G","1384","-57.0(-3.96%)"
"5563","新日本電工","東P","399","-8.0(-1.97%)"
"556A","犬猫生活","東G","1846","-67.0(-3.50%)"
"5570","ジェノバ","東G","613","-3.0(-0.49%)"
"5571","エキサイトＨＬＤＧ","東S","1008","+6.0(+0.60%)"
"5572","Ｒｉｄｇｅ−ｉ","東G","2230","-159.0(-6.66%)"
"5574","ＡＢＥＪＡ","東G","2612","+75.0(+2.96%)"
"5575","Ｇｌｏｂｅｅ","東G","1086","+64.0(+6.26%)"
"5576","オービーシステム","東S","2915","+52.0(+1.82%)"
"5578","ＡＲアドバンストテクノロジ","東G","785","-9.0(-1.13%)"
"5580","プロディライト","東G","1650","+31.0(+1.91%)"
"5582","グリッド","東G","1902","-12.0(-0.63%)"
"5586","Ｌａｂｏｒｏ．ＡＩ","東G","802","-18.0(-2.20%)"
"5587","インバウンドプラットフォーム","東G","950","+10.0(+1.06%)"
"5588","ファーストアカウンティング","東G","789","+22.0(+2.87%)"
"5589","オートサーバー","東S","2700","+13.0(+0.48%)"
"558A","ＳＱＵＥＥＺＥ","東G","4385","-115.0(-2.56%)"
"5590","ネットスターズ","東G","650","-14.0(-2.11%)"
"5591","ＡＶＩＬＥＮ","東G","782","+1.0(+0.13%)"
"5592","くすりの窓口","東G","2413","+6.0(+0.25%)"
"5597","ブルーイノベーション","東G","1134","-52.0(-4.38%)"
"5599","Ｓ＆Ｊ","東G","1062","-30.0(-2.75%)"
"559A","梅乃宿酒造","東S","1116","-12.0(-1.06%)"
"5602","栗本鐵工所","東P","1500","+6.0(+0.40%)"
"5603","虹技","東S","1300","-8.0(-0.61%)"
"5609","日本鋳造","東S","981","+24.0(+2.51%)"
"5612","日本鋳鉄管","東S","1587","+31.0(+1.99%)"
"5616","雨風太陽","東G","619","-3.0(-0.48%)"
"5618","ナイル","東G","302","+2.0(+0.67%)"
"5619","マーソ","東G","888","+11.0(+1.25%)"
"5621","ヒューマンテクノロジーズ","東G","1699","+38.0(+2.29%)"
"5631","日本製鋼所","東P","7223.0","-206.0(-2.77%)"
"5632","三菱製鋼","東P","2119","-5.0(-0.24%)"
"5644","メタルアート","東S","7630","-40.0(-0.52%)"
"5658","日亜鋼業","東S","371","+0.0(+0.00%)"
"5659","日本精線","東P","1320","-22.0(-1.64%)"
"5660","神鋼鋼線工業","東S","1934","+70.0(+3.76%)"
"5695","パウダーテック","東S","3000","+36.0(+1.21%)"
"5697","サンユウ","東S","736","+1.0(+0.14%)"
"5698","エンビプロＨＬＤＧ","東S","743","-20.0(-2.62%)"
"5699","イボキン","東S","1460","-1.0(-0.07%)"
"5702","大紀アルミニウム工業所","東P","1453","-2.0(-0.14%)"
"5703","日本軽金属ＨＬＤＧ","東P","2584","-37.0(-1.41%)"
"5704","ＪＭＣ","東G","380","-2.0(-0.52%)"
"5706","三井金属","東P","25665.0","-2,345.0(-8.37%)"
"5707","東邦亜鉛","東P","805","-27.0(-3.25%)"
"5711","三菱マテリアル","東P","3944.0","-90.0(-2.23%)"
"5713","住友金属鉱山","東P","7315.0","-49.0(-0.67%)"
"5714","ＤＯＷＡ　ＨＬＤＧ","東P","7907.0","-182.0(-2.25%)"
"5715","古河機械金属","東P","3335","-180.0(-5.12%)"
"5721","エスクリプトエナジー","東S","55","+0.0(+0.00%)"
"5724","アサカ理研","東S","2187","-91.0(-3.99%)"
"5726","大阪チタニウムテクノロジーズ","東P","2506","-145.0(-5.47%)"
"5729","日本精鉱","東S","1488","-46.0(-3.00%)"
"5741","ＵＡＣＪ","東P","2176","-100.0(-4.39%)"
"5742","エヌアイシ・オートテック","東S","722","+2.0(+0.28%)"
"5753","日本伸銅","東S","2351","-49.0(-2.04%)"
"5757","ＣＫサンエツ","東P","5090","+40.0(+0.79%)"
"575A","前澤ＨＬＤＧ","東P","1818","-2.0(-0.11%)"
"5801","古河電気工業","東P","2772.5","-235.5(-7.83%)"
"5802","住友電気工業","東P","2072.0","-115.5(-5.28%)"
"5803","フジクラ","東P","3760.0","-313.0(-7.68%)"
"5805","ＳＷＣＣ","東P","10470","-310.0(-2.88%)"
"5816","オーナンバ","東S","1514","-21.0(-1.37%)"
"5817","ＪＭＡＣＳ","東S","895","+9.0(+1.02%)"
"5819","カナレ電気","東S","1747","+0.0(+0.00%)"
"581A","ＧＯ","東G","3065","+20.0(+0.66%)"
"5820","三ッ星","東S","679","-4.0(-0.59%)"
"5821","平河ヒューテック","東P","2988","-3.0(-0.10%)"
"5830","いよぎんＨＬＤＧ","東P","3599.0","-68.0(-1.85%)"
"5831","しずおかＦＧ","東P","3257.0","-33.0(-1.00%)"
"5832","ちゅうぎんＦＧ","東P","3301.0","-67.0(-1.99%)"
"5834","ＳＢＩリーシングサービス","東G","2915","+172.0(+6.27%)"
"5838","楽天銀行","東P","5447.0","-112.0(-2.01%)"
"5842","インテグラル","東G","2890","+60.0(+2.12%)"
"5843","ニッポンインシュア","東S","2331","-36.0(-1.52%)"
"5844","京都ＦＧ","東P","4533.0","-70.0(-1.52%)"
"5845","全保連","東S","1140","+120.0(+11.76%)"
"584A","ＬｉＮＫＸ","東G","2128","-112.0(-5.00%)"
"5851","リョービ","東P","2520","+22.0(+0.88%)"
"5852","アーレスティ","東P","703","+3.0(+0.43%)"
"5857","ＡＲＥＨＬＤＧ","東P","2993","-62.0(-2.03%)"
"5858","ＳＴＧ","東G","1350","-40.0(-2.88%)"
"5867","エスネットワークス","東G","1158","-68.0(-5.55%)"
"5868","ロココ","東S","954","+1.0(+0.10%)"
"5869","早稲田学習研究会","東S","1229","-1.0(-0.08%)"
"5870","ナルネットコミュニケーションズ","東G","778","-3.0(-0.38%)"
"5871","ＳＯＬＩＺＥ　ＨＬＤＧ","東S","1324","+0.0(+0.00%)"
"5884","クラダシ","東G","549","+5.0(+0.92%)"
"5885","ジーデップ・アドバンス","東S","2517","-34.0(-1.33%)"
"5888","ＤＡＩＷＡ　ＣＹＣＬＥ","東G","2696","-9.0(-0.33%)"
"5889","Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈ","東P","2538","+33.0(+1.32%)"
"5891","ＳＡＫＩＧＡＫＥＨＬＤＧ","東S","1668","+3.0(+0.18%)"
"5892","ｙｕｔｏｒｉ","東G","2041","+29.0(+1.44%)"
"589A","ネイス","東G","1138","-55.0(-4.61%)"
"5900","ダイケン","東S","859","+0.0(+0.00%)"
"5901","東洋製罐グループＨＬＤＧ","東P","4186.0","+36.0(+0.87%)"
"5902","ホッカンＨＬＤＧ","東P","2413","+30.0(+1.26%)"
"5905","日本製罐","東S","-","- (-%)"
"5906","エムケー精工","東S","801","-30.0(-3.61%)"
"5909","コロナ","東S","1050","+20.0(+1.94%)"
"590A","ギフティグループ","東P","1044","+1.0(+0.10%)"
"5911","横河ブリッジＨＬＤＧ","東P","2993","+50.0(+1.70%)"
"5915","駒井ハルテック","東S","2222","+3.0(+0.14%)"
"5918","瀧上工業","東S","7120","+0.0(+0.00%)"
"5921","川岸工業","東S","4080","+25.0(+0.62%)"
"5922","那須電機鉄工","東S","19950","+560.0(+2.89%)"
"5923","高田機工","東S","1163","-6.0(-0.51%)"
"5928","アルメタックス","東S","286","+3.0(+1.06%)"
"5929","三和ＨＬＤＧ","東P","3953.0","+0.0(+0.00%)"
"5930","文化シヤッター","東P","1972","+13.0(+0.66%)"
"5932","三協立山","東P","650","+4.0(+0.62%)"
"5933","アルインコ","東P","1111","+12.0(+1.09%)"
"5936","東洋シヤッター","東S","912","+0.0(+0.00%)"
"5938","ＬＩＸＩＬ","東P","1931.0","+34.5(+1.82%)"
"5939","大谷工業","東S","4835","-5.0(-0.10%)"
"593A","ティアフォー","東G","1055","+46.0(+4.56%)"
"5940","不二サッシ","東S","738","+7.0(+0.96%)"
"5941","中西製作所","東S","2692","+28.0(+1.05%)"
"5942","日本フイルコン","東S","628","+3.0(+0.48%)"
"5943","ノーリツ","東P","2439","+52.0(+2.18%)"
"5945","天龍製鋸","東S","2475","-16.0(-0.64%)"
"5946","長府製作所","東P","2124","+17.0(+0.81%)"
"5947","リンナイ","東P","3781.0","+96.0(+2.61%)"
"5949","ユニプレス","東P","1339","+34.0(+2.61%)"
"5950","日本パワーファスニング","東S","146","+0.0(+0.00%)"
"5951","ダイニチ工業","東S","1042","+6.0(+0.58%)"
"5952","アマテイ","東S","189","+1.0(+0.53%)"
"5955","ワイズＨＬＤＧ","東S","80","-1.0(-1.23%)"
"5956","トーソー","東S","606","+4.0(+0.66%)"
"5957","日東精工","東P","772","-2.0(-0.26%)"
"5958","三洋工業","東S","4745","-40.0(-0.84%)"
"5959","岡部","東P","934","+10.0(+1.08%)"
"5962","浅香工業","東S","-","- (-%)"
"5965","フジマック","東S","1178","+7.0(+0.60%)"
"5966","京都機械工具","東S","2578","+0.0(+0.00%)"
"5967","ＴＯＮＥ","東S","476","-1.0(-0.21%)"
"5969","ロブテックス","東S","1190","-3.0(-0.25%)"
"5970","ジーテクト","東P","2170","+28.0(+1.31%)"
"5971","共和工業所","東S","8180","+30.0(+0.37%)"
"5973","トーアミ","東S","600","-3.0(-0.50%)"
"5974","中国工業","東S","-","- (-%)"
"5975","東プレ","東P","2765","+33.0(+1.21%)"
"5976","高周波熱錬","東P","1393","+7.0(+0.51%)"
"5981","東京製綱","東P","1907","-5.0(-0.26%)"
"5982","マルゼン","東S","4015","+15.0(+0.38%)"
"5983","イワブチ","東S","14900","-490.0(-3.18%)"
"5984","兼房","東S","734","-2.0(-0.27%)"
"5985","サンコール","東S","1092","-69.0(-5.94%)"
"5986","モリテック　スチール","東S","247","+1.0(+0.41%)"
"5987","オーネックス","東S","1536","-145.0(-8.63%)"
"5988","パイオラックス","東P","1757","+42.0(+2.45%)"
"5989","エイチワン","東P","1553","+27.0(+1.77%)"
"598A","チャットプラス","東G","1483","-106.0(-6.67%)"
"5990","スーパーツール","東S","1987","+0.0(+0.00%)"
"5991","ニッパツ","東P","3328.0","-157.0(-4.51%)"
"5992","中央発條","東S","3695","-15.0(-0.40%)"
"5994","ファインシンター","東S","988","-9.0(-0.90%)"
"5997","協立エアテック","東S","915","-1.0(-0.11%)"
"5998","アドバネクス","東S","2566","-51.0(-1.95%)"
"6005","三浦工業","東P","3162.0","-6.0(-0.19%)"
"6013","タクマ","東P","3365","-45.0(-1.32%)"
"6016","ジャパンエンジン","東S","8630","-760.0(-8.09%)"
"6018","阪神内燃機工業","東S","6250","+130.0(+2.12%)"
"6022","赤阪鐵工所","東S","2516","-24.0(-0.94%)"
"6023","ダイハツインフィニアース","東S","2548","-186.0(-6.80%)"
"6027","弁護士ドットコム","東P","2267","-14.0(-0.61%)"
"6029","アトラグループ","東S","197","-1.0(-0.51%)"
"6030","アドベンチャー","東G","1516","+46.0(+3.13%)"
"6031","ＺＥＴＡ","東G","236","-3.0(-1.26%)"
"6033","エクストリーム","東G","1661","-11.0(-0.66%)"
"6034","ＭＲＴ","東G","630","+2.0(+0.32%)"
"6035","アイ・アールジャパンＨＬＤＧ","東S","719","+15.0(+2.13%)"
"6036","ＫｅｅＰｅｒ技研","東P","2799","+45.0(+1.63%)"
"6037","楽待","東S","1028","+26.0(+2.59%)"
"6038","イード","東G","818","-9.0(-1.09%)"
"6039","日本動物高度医療センター","東G","985","+9.0(+0.92%)"
"603A","アイ・グリッド・ソリューション","東G","830","+0.0(+0.00%)"
"6040","日本スキー場開発","東G","526","+3.0(+0.57%)"
"6042","ニッキ","東S","3940","+20.0(+0.51%)"
"6044","三機サービス","東S","1935","+36.0(+1.90%)"
"6045","レントラックス","東G","1627","+9.0(+0.56%)"
"6046","リンクバル","東S","128","+4.0(+3.23%)"
"6047","Ｇｕｎｏｓｙ","東S","359","-1.0(-0.28%)"
"6049","イトクロ","東G","243","+2.0(+0.83%)"
"604A","ビーエイブル","東S","1316","+0.0(+0.00%)"
"6050","イー・ガーディアン","東P","1774","+18.0(+1.03%)"
"6054","リブセンス","東S","111","-2.0(-1.77%)"
"6055","ジャパンマテリアル","東P","1983","-120.0(-5.71%)"
"6058","ベクトル","東P","1765","-15.0(-0.84%)"
"6059","ウチヤマＨＬＤＧ","東S","348","+3.0(+0.87%)"
"6061","ユニバーサル園芸社","東S","2819","+74.0(+2.70%)"
"6062","チャーム・ケア","東P","1390","+14.0(+1.02%)"
"6063","日本エマージェンシーアシスタン","東S","1007","+7.0(+0.70%)"
"6069","トレンダーズ","東G","673","+21.0(+3.22%)"
"6070","キャリアリンク","東P","2435","+48.0(+2.01%)"
"6071","ＩＢＪ","東P","826","+9.0(+1.10%)"
"6072","地盤ネットＨＬＤＧ","東S","850","-22.0(-2.52%)"
"6073","アサンテ","東P","1531","+20.0(+1.32%)"
"6074","ジェイエスエス","東S","520","+0.0(+0.00%)"
"6078","バリューＨＲ","東P","1561","+27.0(+1.76%)"
"6080","Ｍ＆Ａキャピタルパートナーズ","東P","3775","+35.0(+0.94%)"
"6081","アライドアーキテクツ","東G","154","-3.0(-1.91%)"
"6082","ライドオンエクスプレスＨＬＤＧ","東S","999","+2.0(+0.20%)"
"6083","ＥＲＩ　ＨＬＤＧ","東S","1583","+14.0(+0.89%)"
"6085","アーキテクツ・スタジオ・ジャパ","東G","85","-13.0(-13.27%)"
"6086","シンメンテＨＬＤＧ","東G","1063","+5.0(+0.47%)"
"6087","アビスト","東S","3450","-10.0(-0.29%)"
"6088","シグマクシス・ＨＬＤＧ","東P","624","+32.0(+5.41%)"
"6089","ウィルグループ","東P","1115","+25.0(+2.29%)"
"6090","ヒューマン・メタボローム・テク","東S","596","+2.0(+0.34%)"
"6091","ウエスコＨＬＤＧ","東S","898","-10.0(-1.10%)"
"6092","エンバイオＨＬＤＧ","東S","710","+3.0(+0.42%)"
"6093","ミトラグループ","東S","160","+1.0(+0.63%)"
"6094","フリークアウトＨＬＤＧ","東G","530","+2.0(+0.38%)"
"6096","レアジョブ","東S","-","- (-%)"
"6098","リクルートＨＬＤＧ","東P","13100.0","+505.0(+4.01%)"
"6099","エラン","東P","804","+12.0(+1.52%)"
"6101","ツガミ","東P","5890","-400.0(-6.36%)"
"6103","オークマ","東P","4765","-55.0(-1.14%)"
"6104","芝浦機械","東P","4535","-25.0(-0.55%)"
"6113","アマダ","東P","2628.0","-80.5(-2.97%)"
"6118","アイダエンジニアリング","東P","1186","-3.0(-0.25%)"
"6125","岡本工作機械製作所","東S","4495","-325.0(-6.74%)"
"6134","ＦＵＪＩ","東P","6537.0","-269.0(-3.95%)"
"6135","牧野フライス製作所","東P","13930","-340.0(-2.38%)"
"6136","オーエスジー","東P","3622.0","-95.0(-2.56%)"
"6137","小池酸素工業","東S","1520","-20.0(-1.30%)"
"6138","ダイジェット工業","東S","1114","-19.0(-1.68%)"
"6140","旭ダイヤモンド工業","東P","1048","-25.0(-2.33%)"
"6141","ＤＭＧ森精機","東P","3506.0","-85.0(-2.37%)"
"6143","ソディック","東P","1500","-93.0(-5.84%)"
"6144","西部電機","東S","2748","-7.0(-0.25%)"
"6145","ＮＩＴＴＯＫＵ","東S","2447","-83.0(-3.28%)"
"6146","ディスコ","東P","51320.0","-3,580.0(-6.52%)"
"6147","ヤマザキ","東S","182","+1.0(+0.55%)"
"6149","小田原エンジニアリング","東S","2130","-35.0(-1.62%)"
"6150","タケダ機械","東S","2794","+13.0(+0.47%)"
"6151","日東工器","東P","1716","+23.0(+1.36%)"
"6155","高松機械工業","東S","513","+0.0(+0.00%)"
"6156","エーワン精密","東S","1778","+1.0(+0.06%)"
"6157","日進工具","東S","898","-18.0(-1.97%)"
"6158","和井田製作所","東S","968","-10.0(-1.02%)"
"6159","ミクロン精密","東S","1818","+19.0(+1.06%)"
"6161","エスティック","東S","1087","+58.0(+5.64%)"
"6165","パンチ工業","東S","494","+3.0(+0.61%)"
"6166","中村超硬","東G","586","-20.0(-3.30%)"
"6167","冨士ダイス","東P","933","+9.0(+0.97%)"
"6171","土木管理総合試験所","東S","378","+0.0(+0.00%)"
"6176","ブランジスタ","東S","921","+12.0(+1.32%)"
"6177","ＡｐｐＢａｎｋ","東G","78","-1.0(-1.27%)"
"6178","日本郵政","東P","2482.0","+18.0(+0.73%)"
"6180","ＧＭＯメディア","東G","3780","+0.0(+0.00%)"
"6181","タメニー","東G","76","-2.0(-2.56%)"
"6182","メタリアル","東G","420","-9.0(-2.10%)"
"6183","ベルシステム２４ＨＬＤＧ","東P","1394","+22.0(+1.60%)"
"6184","鎌倉新書","東P","539","+13.0(+2.47%)"
"6185","ＳＭＮ","東S","391","-4.0(-1.01%)"
"6186","一蔵","東S","388","+0.0(+0.00%)"
"6189","グローバルキッズＣＯＭＰＡＮＹ","東S","1002","-3.0(-0.30%)"
"6190","フェニックスバイオ","東G","349","+3.0(+0.87%)"
"6191","エアトリ","東P","908","+48.0(+5.58%)"
"6193","バーチャレクスＨＬＤＧ","東G","1027","-11.0(-1.06%)"
"6194","アトラエ","東P","860","+28.0(+3.37%)"
"6195","ホープ","東G","210","+1.0(+0.48%)"
"6196","ストライクグループ","東P","1359","+18.0(+1.34%)"
"6197","ソラスト","東P","1111","+0.0(+0.00%)"
"6198","キャリア","東G","213","-3.0(-1.39%)"
"6199","セラク","東S","1364","+54.0(+4.12%)"
"6200","インソース","東P","774","+14.0(+1.84%)"
"6203","豊和工業","東S","1324","-49.0(-3.57%)"
"6208","石川製作所","東S","1547","-43.0(-2.70%)"
"6209","リケンＮＰＲ","東P","4010","+10.0(+0.25%)"
"6217","津田駒工業","東S","635","-55.0(-7.97%)"
"6218","エンシュウ","東S","624","-2.0(-0.32%)"
"6222","島精機製作所","東P","893","+16.0(+1.82%)"
"6223","西部技研","東S","1899","-81.0(-4.09%)"
"6224","ＪＲＣ","東G","1114","+1.0(+0.09%)"
"6226","守谷輸送機工業","東S","2297","-203.0(-8.12%)"
"6227","ＡＩメカテック","東S","5450","-520.0(-8.71%)"
"6228","ジェイ・イー・ティ","東S","483","-15.0(-3.01%)"
"6229","オーケーエム","東S","1503","-50.0(-3.22%)"
"6230","ＳＡＮＥＩ","東S","2114","-17.0(-0.80%)"
"6231","木村工機","東S","11760","-360.0(-2.97%)"
"6232","ＡＣＳＬ","東G","1500","-44.0(-2.85%)"
"6233","ＫＬＡＳＳ","東S","387","+0.0(+0.00%)"
"6235","オプトラン","東P","2787","-142.0(-4.85%)"
"6237","イワキポンプ","東P","4585","-270.0(-5.56%)"
"6238","フリュー","東P","1407","+15.0(+1.08%)"
"6239","ナガオカ","東S","1304","+5.0(+0.38%)"
"6240","ヤマシンフィルタ","東P","534","-1.0(-0.19%)"
"6245","ヒラノテクシード","東S","1565","-12.0(-0.76%)"
"6246","テクノスマート","東S","1855","-9.0(-0.48%)"
"6247","日阪製作所","東P","1594","-41.0(-2.51%)"
"6248","横田製作所","東S","1825","-14.0(-0.76%)"
"6249","ゲームカードＨＬＤＧ","東S","2649","+50.0(+1.92%)"
"6250","やまびこ","東P","3800","-30.0(-0.78%)"
"6254","野村マイクロ・サイエンス","東P","3440","-240.0(-6.52%)"
"6255","エヌ・ピー・シー","東G","573","-23.0(-3.86%)"
"6257","藤商事","東S","1050","+23.0(+2.24%)"
"6258","平田機工","東P","2640","-91.0(-3.33%)"
"6262","ＰＥＧＡＳＵＳ","東S","556","+8.0(+1.46%)"
"6264","マルマエ","東P","1730","-100.0(-5.46%)"
"6265","コンバム","東S","3115","-90.0(-2.81%)"
"6266","タツモ","東P","3615","-405.0(-10.07%)"
"6267","ゼネラルパッカー","東S","4080","-10.0(-0.24%)"
"6268","ナブテスコ","東P","4248.0","-181.0(-4.09%)"
"6269","三井海洋開発","東P","9930.0","-395.0(-3.83%)"
"6272","レオン自動機","東P","1533","+13.0(+0.86%)"
"6273","ＳＭＣ","東P","64930.0","-260.0(-0.40%)"
"6276","シリウスビジョン","東S","297","-6.0(-1.98%)"
"6277","ホソカワミクロン","東P","4935","+0.0(+0.00%)"
"6278","ユニオンツール","東P","13610","-1,680.0(-10.99%)"
"6279","瑞光","東P","929","+21.0(+2.31%)"
"6282","オイレス工業","東P","2810","+4.0(+0.14%)"
"6284","日精エー・エス・ビー機械","東P","8760","-60.0(-0.68%)"
"6286","靜甲","東S","1369","-3.0(-0.22%)"
"6287","サトー","東P","2494","+21.0(+0.85%)"
"6289","技研製作所","東P","1896","-4.0(-0.21%)"
"6291","日本エアーテック","東S","1327","+12.0(+0.91%)"
"6292","カワタ","東S","817","-5.0(-0.61%)"
"6294","オカダアイヨン","東P","2014","+11.0(+0.55%)"
"6298","ワイエイシイＨＬＤＧ","東P","1092","-23.0(-2.06%)"
"6301","小松製作所","東P","7265.0","+515.0(+7.63%)"
"6302","住友重機械工業","東P","5138.0","-114.0(-2.17%)"
"6305","日立建機","東P","5613.0","+175.0(+3.22%)"
"6306","日工","東P","1001","+23.0(+2.35%)"
"6307","サンセイ","東S","474","+4.0(+0.85%)"
"6309","巴工業","東P","1908","+10.0(+0.53%)"
"6310","井関農機","東P","1818","-29.0(-1.57%)"
"6315","ＴＯＷＡ","東P","2307","-231.0(-9.10%)"
"6316","丸山製作所","東S","2716","-90.0(-3.21%)"
"6317","北川鉄工所","東S","1639","-1.0(-0.06%)"
"6322","タクミナ","東S","1602","-5.0(-0.31%)"
"6323","ローツェ","東P","3450.0","-378.0(-9.87%)"
"6324","ハーモニック・ドライブ・システ","東P","5440","-340.0(-5.88%)"
"6325","タカキタ","東S","405","+1.0(+0.25%)"
"6326","クボタ","東P","2817.5","+71.0(+2.59%)"
"6327","北川精機","東S","2679","-262.0(-8.91%)"
"6328","荏原実業","東P","2329","-22.0(-0.94%)"
"6330","東洋エンジニアリング","東P","1891","-110.0(-5.50%)"
"6331","三菱化工機","東P","3070","-165.0(-5.10%)"
"6332","月島ＨＬＤＧ","東P","2655","-31.0(-1.15%)"
"6333","ＴＥＩＫＯＫＵ","東P","3235","+35.0(+1.09%)"
"6334","明治機械","東S","481","+9.0(+1.91%)"
"6335","東京機械製作所","東S","655","-32.0(-4.66%)"
"6336","石井表記","東S","1452","-30.0(-2.02%)"
"6337","テセック","東S","2496","+316.0(+14.50%)"
"6338","タカトリ","東S","1416","-51.0(-3.48%)"
"6339","新東工業","東P","1141","+11.0(+0.97%)"
"6340","澁谷工業","東P","4260","+20.0(+0.47%)"
"6342","太平製作所","東S","2856","-20.0(-0.70%)"
"6343","フリージア・マクロス","東S","143","+1.0(+0.70%)"
"6345","アイチ","東P","1435","+15.0(+1.06%)"
"6346","キクカワエンタープライズ","東S","5800","+0.0(+0.00%)"
"6347","プラコー","東S","251","-7.0(-2.71%)"
"6349","小森コーポレーション","東P","1673","+8.0(+0.48%)"
"6351","鶴見製作所","東P","2207","+50.0(+2.32%)"
"6356","日本ギア工業","東S","1250","-46.0(-3.55%)"
"6357","三精テクノロジーズ","東S","2320","+15.0(+0.65%)"
"6358","酒井重工業","東P","2200","+35.0(+1.62%)"
"6360","東京自働機械製作所","東S","4505","+30.0(+0.67%)"
"6361","荏原製作所","東P","4871.0","-280.0(-5.44%)"
"6363","酉島製作所","東P","2630","-95.0(-3.49%)"
"6364","ＡＩＲＭＡＮ","東P","1973","+30.0(+1.54%)"
"6365","電業社機械製作所","東S","5300","-70.0(-1.30%)"
"6366","千代田化工建設","東S","630","-73.0(-10.38%)"
"6367","ダイキン工業","東P","23850.0","+105.0(+0.44%)"
"6368","オルガノ","東P","12420.0","-1,115.0(-8.24%)"
"6369","トーヨーカネツ","東P","2403","-12.0(-0.50%)"
"6370","栗田工業","東P","8178.0","-123.0(-1.48%)"
"6371","椿本チエイン","東P","2664","+22.0(+0.83%)"
"6376","日機装","東P","3565","-165.0(-4.42%)"
"6378","木村化工機","東S","1192","-7.0(-0.58%)"
"6379","レイズネクスト","東P","2659","+44.0(+1.68%)"
"6380","オリエンタルチエン工業","東S","3985","+65.0(+1.66%)"
"6381","アネスト岩田","東P","1789","+5.0(+0.28%)"
"6382","トリニティ工業","東S","1208","-17.0(-1.39%)"
"6383","ダイフク","東P","5753.0","-108.0(-1.84%)"
"6384","昭和真空","東S","1590","-10.0(-0.63%)"
"6387","サムコ","東P","7610","-760.0(-9.08%)"
"6390","加藤製作所","東P","1330","+5.0(+0.38%)"
"6391","加地テック","東S","4305","-225.0(-4.97%)"
"6392","ヤマダコーポレーション","東S","7520","+50.0(+0.67%)"
"6393","油研工業","東S","3060","+35.0(+1.16%)"
"6395","タダノ","東P","1338","+0.0(+0.00%)"
"6396","宇野澤組鐵工所","東S","-","- (-%)"
"6400","不二精機","東S","263","+2.0(+0.77%)"
"6402","兼松エンジニアリング","東S","1579","+34.0(+2.20%)"
"6405","鈴茂器工","東S","1023","-9.0(-0.87%)"
"6407","ＣＫＤ","東P","5130","-430.0(-7.73%)"
"6408","小倉クラッチ","東S","-","- (-%)"
"6412","平和","東P","2175","+67.0(+3.18%)"
"6413","理想科学工業","東P","1071","+24.0(+2.29%)"
"6417","ＳＡＮＫＹＯ","東P","1923.0","+77.5(+4.20%)"
"6418","日本金銭機械","東P","1107","+22.0(+2.03%)"
"6419","マースグループＨＬＤＧ","東P","3230","+80.0(+2.54%)"
"6420","ガリレイＨＬＤＧ","東P","3380","+30.0(+0.90%)"
